Poste;club;Nom;Age;min;Buts encaissés;Column7;Lien direct
;ELITIHAD;Youssef En-Nesyri;28;781;;5;https://www.fotmob.com/fr/players/788555/youssef-en-nesyri
;Nice;Sofiane Diop;25;1991;2;7;https://www.fotmob.com/fr/players/953812/sofiane-diop
;Sunderland;Chemsdine Talbi;20;1452;1;4;https://www.fotmob.com/fr/players/1368654/chemsdine-talbi
;Real BETIS;Abde Ezzalzouli ;23;1923;8;8;https://www.fotmob.com/fr/players/1209399/abde-ezzalzouli
;Eintracht Frankfurt;Younes Ebnoutalib;22;131;;1;https://www.fotmob.com/fr/players/1447050/younes-ebnoutalib
;Deportivo la coruna;Zakaria Eddahchouri;25;1380;4;10;https://www.fotmob.com/fr/players/1029029/zakaria-eddahchouri
;Dunkerque;Gessime Yassine;19;1216;5;1;https://www.fotmob.com/fr/players/1603755/gessime-yassine
;Pechica;Oussama Idrissi;29;1010;2;3;https://www.fotmob.com/fr/players/690188/oussama-idrissi
;LOSC Lille;Hamza Igamane;22;428;1;5;https://www.fotmob.com/fr/players/1421275/hamza-igamane
;Watford;Othmane Maamma;20;1638;1;4;https://www.fotmob.com/fr/players/1579894/othmane-maamma
;LOSC Lille;Osame Sahraoui;24;467;2;1;https://www.fotmob.com/fr/players/988160/osame-sahraoui
;AFC Bournemouth;Amine Adli;25;1053;1;3;https://www.fotmob.com/fr/players/1079557/amine-adli
;RSB;Oussama Lamlioui;29;438;;5;https://www.fotmob.com/fr/players/1238150/oussama-lamlioui
;Real Madrid;Brahim Díaz;26;1003;5;;https://www.fotmob.com/fr/players/750027/brahim-diaz
;Famalicão;Yasser Zabiri;20;703;4;;https://www.fotmob.com/fr/players/1640985/yassir-zabiri
;PSV EINDHOVEN;Couhaib Driouech;23;916;5;4;https://www.fotmob.com/fr/players/1184693/couhaib-driouech
;Bilbao;Maroan Sannadi;24;273;;1;https://www.fotmob.com/fr/players/1425206/maroan-sannadi
;Elain ;soufian Rahimi;29;1127;4;4;https://www.fotmob.com/fr/players/988749/soufiane-rahimi
;Bayer Liverkosen;Eliesse Ben Seghir;20;214;;;https://www.fotmob.com/fr/players/1393439/eliesse-ben-seghir
;Rayo vallcano;Ilyas Akhoumach;21;1074;1;;https://www.fotmob.com/fr/players/1311915/ilias-akhomach
